Date,Open,High,Low,Close,Adj Close,Volume
12-08-2022,475.75,481.450012,470,477.549988,477.549988,13482890
16-08-2022,479.600006,491.399994,478.200012,489.850006,489.850006,16796376
17-08-2022,490.899994,494.399994,484.200012,485.399994,485.399994,15948755
18-08-2022,484,486.799988,479.25,484.799988,484.799988,12070974
19-08-2022,486.75,488.100006,468.100006,471,471,16636593
22-08-2022,468.5,468.950012,452.549988,454.600006,454.600006,15050653
23-08-2022,449,462.100006,447.600006,460.450012,460.450012,17779238
24-08-2022,459,464.899994,457.700012,463.200012,463.200012,12214113
25-08-2022,466,468.799988,457.399994,459.200012,459.200012,11255809
26-08-2022,465,470.450012,463.950012,465.049988,465.049988,11252560
29-08-2022,451,456.899994,450.149994,453.350006,453.350006,11647725
30-08-2022,458.649994,472.399994,457.100006,471.100006,471.100006,14421066
01-09-2022,462.5,474.399994,462.149994,466.899994,466.899994,13385159
02-09-2022,470.850006,471.799988,460.149994,461.75,461.75,10806707
05-09-2022,459.75,463.950012,457,459,459,9378108
06-09-2022,462.700012,463.700012,456.600006,457.75,457.75,9805875
07-09-2022,453.200012,456.5,443.649994,445.850006,445.850006,20764508
08-09-2022,452.450012,452.549988,440,442.200012,442.200012,19336014
09-09-2022,447.5,449.649994,440.600006,445.899994,445.899994,14294289
12-09-2022,447.700012,453,447,451,451,8962633
13-09-2022,454.299988,458.950012,453.549988,456.799988,456.799988,10661280
14-09-2022,447.600006,454.700012,447,450.200012,450.200012,10360461
15-09-2022,452.399994,455.850006,446.049988,447.25,447.25,10356713
16-09-2022,446,446.399994,429.100006,432.5,432.5,20992324
19-09-2022,431.5,431.600006,424.049988,425.450012,425.450012,15236142
20-09-2022,430.600006,443.350006,430.600006,434.25,434.25,17557661
21-09-2022,433.950012,436,425.5,427.649994,427.649994,10831068
22-09-2022,425,434.600006,422.549988,432.200012,432.200012,13600786
23-09-2022,431.899994,431.899994,420.549988,423.100006,423.100006,13441609
26-09-2022,416,417.899994,393.149994,397.5,397.5,33230938
27-09-2022,403.899994,404,390.350006,398.799988,398.799988,21932747
28-09-2022,394.899994,406.600006,392.850006,399.100006,399.100006,18114880
29-09-2022,411,413.25,399.600006,402.25,402.25,20725995
30-09-2022,398,408.25,392.5,404.600006,404.600006,20951277
03-10-2022,405.5,406.549988,395.5,397.649994,397.649994,20332430
04-10-2022,406,408.950012,402.899994,407.899994,407.899994,12761425
06-10-2022,409.600006,417.649994,409.5,414.100006,414.100006,12771199
07-10-2022,413.399994,414,408.700012,412.149994,412.149994,10670854
10-10-2022,403.399994,403.399994,393.049988,395.950012,395.950012,32914630
11-10-2022,397,399.5,391.299988,393.350006,393.350006,14641301
12-10-2022,394.549988,398.200012,391.100006,396.549988,396.549988,14287344
13-10-2022,396.549988,403.5,394.549988,399,399,12584114
14-10-2022,407,409.200012,395.299988,396.25,396.25,12875470
17-10-2022,394,398.899994,392.5,396.100006,396.100006,9543556
18-10-2022,401,406.700012,400.700012,404.25,404.25,14215544
19-10-2022,406.200012,406.950012,397.299988,399.049988,399.049988,8648435
20-10-2022,397,399.899994,393.100006,398.100006,398.100006,10747183
21-10-2022,397,402.25,394.700012,398.049988,398.049988,10279618
24-10-2022,406,406,400.149994,401.600006,401.600006,2871205
25-10-2022,404.350006,410.5,403.200012,404.549988,404.549988,17979661
27-10-2022,408.549988,411.700012,404,407.700012,407.700012,14614841
28-10-2022,408,411.200012,406.100006,409.899994,409.899994,12488938
31-10-2022,414.350006,416.299988,411.600006,412.75,412.75,9928218
01-11-2022,414.899994,422.399994,412.799988,421.350006,421.350006,17324893
02-11-2022,423.049988,425.100006,420.149994,422.149994,422.149994,12433578
03-11-2022,419.399994,423.299988,414.5,416.25,416.25,10987519
04-11-2022,418.200012,426,416.899994,425.350006,425.350006,12277023
07-11-2022,428.25,437.5,428.25,435,435,15058076
09-11-2022,439.200012,441.200012,432,433.149994,433.149994,14471443
10-11-2022,420.5,420.549988,409.200012,412.200012,412.200012,26251660
11-11-2022,420,425.5,414.700012,423.5,423.5,19296401
14-11-2022,424,437.700012,423.5,433.700012,433.700012,17996083
15-11-2022,434.899994,438.5,434.100006,437.149994,437.149994,10696024
16-11-2022,436.950012,438.200012,429.600006,431.549988,431.549988,8206169
17-11-2022,422,427.549988,419.600006,423.149994,423.149994,15621809
18-11-2022,424,426.450012,421.149994,423.799988,423.799988,9851962
21-11-2022,425.600006,427.600006,420,421.100006,421.100006,9497812
22-11-2022,421,426.399994,420.5,424.700012,424.700012,6407614
23-11-2022,426.850006,429.299988,422.850006,424.049988,424.049988,6568241
24-11-2022,424.5,425.25,420.700012,423.399994,423.399994,6768613
25-11-2022,425,435.149994,424,433.200012,433.200012,18764073
28-11-2022,435,440.350006,432.399994,433.25,433.25,10701208
29-11-2022,432.5,437.899994,429.549988,433.149994,433.149994,8630105
30-11-2022,435,441,433.299988,439.399994,439.399994,14727892
01-12-2022,443,443.600006,436.850006,438.25,438.25,8909310
02-12-2022,439,441.149994,435,435.399994,435.399994,8352658
05-12-2022,435.5,437.5,427.799988,428.75,428.75,12857807
06-12-2022,428.799988,431.350006,425.350006,427.100006,427.100006,8461831
07-12-2022,428,428,419.100006,420.100006,420.100006,12133315
08-12-2022,421,421.399994,415.350006,417.200012,417.200012,9539923
09-12-2022,419.299988,420.950012,409.549988,413.299988,413.299988,9920219
12-12-2022,412,416.899994,408,414.149994,414.149994,8009229
13-12-2022,419.950012,421.5,417.25,418.5,418.5,9717894
14-12-2022,420.549988,421.350006,417.350006,417.899994,417.899994,6314883
15-12-2022,418.850006,422.799988,415.700012,416.700012,416.700012,7542601
16-12-2022,417.350006,427.799988,413.100006,421.600006,421.600006,50949198
19-12-2022,421.899994,422.850006,415.5,418,418,9809103
20-12-2022,418,418,408,410.5,410.5,12341042
21-12-2022,412.600006,414.399994,401,402.600006,402.600006,11606059
22-12-2022,404.100006,404.700012,390.200012,394.450012,394.450012,14908929
23-12-2022,390,390,377,378.350006,378.350006,19902886
26-12-2022,380.25,390.700012,375.200012,384.799988,384.799988,16979026
27-12-2022,390,397.450012,388.5,394.149994,394.149994,14372461
28-12-2022,394,395.899994,390.399994,391.299988,391.299988,8443917
29-12-2022,389,390,383.049988,385.899994,385.899994,15627403
30-12-2022,391,392.200012,387,387.950012,387.950012,9198673
02-01-2023,392.5,396,391,394.799988,394.799988,10501357
03-01-2023,396,398.350006,393,393.899994,393.899994,9431220
04-01-2023,394.799988,394.799988,385,385.600006,385.600006,16121049
05-01-2023,387.899994,388.75,382.5,386.899994,386.899994,10443908
06-01-2023,386.100006,388.399994,381,382,382,8715469
09-01-2023,386.350006,392.700012,385,389.450012,389.450012,14693099
10-01-2023,400,417.75,400,412.899994,412.899994,54021379
11-01-2023,415.75,420,413.549988,418.200012,418.200012,22224361
12-01-2023,420.299988,420.5,410.049988,412.25,412.25,12479034
13-01-2023,413,416.350006,408,411.5,411.5,10449630
16-01-2023,413.5,414.899994,407.600006,413,413,11462140
17-01-2023,413,419.450012,412.5,415.299988,415.299988,12337969
18-01-2023,415.899994,415.950012,407.450012,408.399994,408.399994,13310316
19-01-2023,406.5,407.799988,400.100006,400.75,400.75,13126520
20-01-2023,404,412.5,401.200012,403.149994,403.149994,23906114
23-01-2023,407,410.950012,405,408.399994,408.399994,13113183
24-01-2023,410,424,410,422.149994,422.149994,30197475
25-01-2023,423.75,427.25,417.700012,419.049988,419.049988,22975581
27-01-2023,438,453.399994,435.149994,445.600006,445.600006,63360467
30-01-2023,445.600006,450,437.649994,443.649994,443.649994,18316743
31-01-2023,443.700012,454.799988,440.899994,452.100006,452.100006,25154475
01-02-2023,456.799988,461.5,437.649994,446.649994,446.649994,23798589
02-02-2023,446.75,449.200012,440.700012,444.799988,444.799988,11344554
03-02-2023,447,450.799988,442.350006,445.450012,445.450012,13067403
06-02-2023,444.450012,447,439.549988,442,442,6795084
07-02-2023,441.700012,443.399994,432.899994,435.450012,435.450012,9023645
08-02-2023,435.450012,441,431.549988,440.100006,440.100006,8668267
09-02-2023,440,440.700012,433.549988,436.75,436.75,7349418
10-02-2023,437.950012,447.799988,431.200012,445.850006,445.850006,14798390
13-02-2023,445.5,446.899994,438.899994,441.049988,441.049988,8333767
14-02-2023,442,444.299988,434.399994,440.549988,440.549988,8565559
15-02-2023,438.5,444.899994,438.149994,444.149994,444.149994,9857016
16-02-2023,445,448.25,440.5,441.600006,441.600006,7670688
17-02-2023,436,442.450012,436,439.899994,439.899994,6955445
20-02-2023,441.799988,445.299988,436.25,443,443,9717197
21-02-2023,445.200012,445.200012,435.25,436.5,436.5,8957930
22-02-2023,435.299988,435.850006,428.25,429.450012,429.450012,7209130
23-02-2023,428.649994,436.450012,427.200012,433.200012,433.200012,9278920
24-02-2023,435.399994,436.700012,427,427.75,427.75,7895024
27-02-2023,427.75,428.049988,413.049988,417.950012,417.950012,10438928
28-02-2023,419,424.799988,419,420.700012,420.700012,9652088
01-03-2023,421.5,428,421.5,426,426,7595114
02-03-2023,426,426.25,419.549988,420.450012,420.450012,5661103
03-03-2023,422.600006,430.5,421.950012,428,428,8027522
06-03-2023,430.950012,441.450012,430,440.100006,440.100006,11307064
08-03-2023,439,441.25,436.100006,439.299988,439.299988,7850052
09-03-2023,439.100006,442.049988,431.299988,432.200012,432.200012,5696737
10-03-2023,433,437.799988,430.799988,435.850006,435.850006,10417015
13-03-2023,436.100006,437,419.100006,422.399994,422.399994,8780169
14-03-2023,422.850006,424.200012,413.399994,416.649994,416.649994,9189043
15-03-2023,422,425,410.100006,411.350006,411.350006,7681009
16-03-2023,413.299988,418.5,405,415.700012,415.700012,11854885
17-03-2023,419,423.450012,414.549988,419,419,8658701
20-03-2023,415.600006,416.950012,405.5,410.75,410.75,10075022
21-03-2023,412.850006,413.899994,407.700012,412.549988,412.549988,7391950
22-03-2023,416,418.399994,413.75,416.100006,416.100006,5728054
23-03-2023,416,422.5,416,419.149994,419.149994,9817460
24-03-2023,419,420.549988,414.799988,416.5,416.5,6877960
27-03-2023,416,418.5,410.25,412.049988,412.049988,7433933
28-03-2023,414.149994,414.5,400.450012,401.600006,401.600006,9553659
29-03-2023,401.600006,410.600006,401.600006,409.200012,409.200012,10474574
30-03-2023,401.600006,410.600006,401.600006,409.200012,409.200012,10474574
31-03-2023,401.600006,410.600006,401.600006,409.200012,409.200012,10474574
